ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions
267,Skincare,Open Pores,All,Redness; Roughness,Turmeric; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
268,Skincare,Sensitive Skin,All,Dry Texture; Breakage,Papaya; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
269,Haircare,Hair Thinning,Oily,Dull Appearance; Roughness,Turmeric; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
270,Haircare,Hair Growth,Curly,Scalp Irritation; Breakage,Egg Yolk; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
271,Skincare,Pigmentation,Oily,Redness; Itching,Onion Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
272,Haircare,Split Ends,Oily,Hair Shedding; Scalp Irritation,Potato Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
273,Haircare,Premature Greying,Normal,Flaky Skin; Hair Shedding,Egg Yolk; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
274,Skincare,Wrinkles,Combination,Itching; Redness,Neem Powder; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
275,Haircare,Hair Growth,Oily,Breakage; Inflammation,Neem Powder; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
276,Skincare,Rashes,Normal,Hair Shedding; Dull Appearance,Onion Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
277,Skincare,Sun Tan,Combination,Hair Shedding; Roughness,Turmeric; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
278,Haircare,Hair Growth,Normal,Uneven Tone; Dull Appearance,Multani Mitti; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
279,Haircare,Itchy Scalp,Curly,Redness; Breakage,Aloe Vera; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
280,Haircare,Hair Growth,Normal,Itching; Uneven Tone,Castor Oil; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
281,Skincare,Rashes,Oily,Excess Oil; Scalp Irritation,Onion Juice; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
282,Skincare,Dull Skin,Combination,Roughness; Dark Spots,Banana; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
283,Skincare,Dull Skin,Normal,Dark Spots; Uneven Tone,Onion Juice; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
284,Skincare,Pigmentation,All,Excess Oil; Dull Appearance,Papaya; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
285,Skincare,Dark Circles,Dry,Hair Shedding; Dark Spots,Multani Mitti; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
286,Skincare,Sensitive Skin,All,Hair Shedding; Dull Appearance,Olive Oil; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
287,Haircare,Frizzy Hair,All,Hair Shedding; Roughness,Coconut Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
288,Haircare,Hair Thinning,Oily,Hair Shedding; Dry Texture,Honey; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
289,Haircare,Hair Growth,Dry,Excess Oil; Dull Appearance,Onion Juice; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
290,Haircare,Dry Hair,Normal,Itching; Redness,Gram Flour; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
291,Haircare,Hair Thinning,Curly,Itching; Flaky Skin,Olive Oil; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
292,Skincare,Dark Circles,Oily,Inflammation; Dark Spots,Lemon Juice; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
293,Skincare,Sun Tan,Dry,Flaky Skin; Breakage,Fenugreek Seeds; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
294,Haircare,Hair Growth,Straight,Inflammation; Dull Appearance,Egg Yolk; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
295,Skincare,Dark Circles,All,Itching; Scalp Irritation,Green Tea; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
296,Haircare,Hair Growth,Dry,Uneven Tone; Dark Spots,Curd; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
297,Haircare,Hair Thinning,Normal,Dull Appearance; Excess Oil,Banana; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
298,Haircare,Premature Greying,Normal,Redness; Excess Oil,Honey; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
299,Haircare,Dandruff,Curly,Dark Spots; Roughness,Papaya; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
300,Haircare,Hair Growth,Straight,Redness; Dull Appearance,Multani Mitti; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
301,Haircare,Hair Growth,All,Excess Oil; Inflammation,Aloe Vera; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
302,Haircare,Hair Thinning,Curly,Excess Oil; Inflammation,Onion Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
303,Haircare,Split Ends,All,Itching; Flaky Skin,Curd; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
304,Skincare,Dark Circles,Combination,Dark Spots; Scalp Irritation,Lemon Juice; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
305,Skincare,Dark Circles,Sensitive,Dry Texture; Breakage,Aloe Vera; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
306,Skincare,Oily Skin,Dry,Excess Oil; Dull Appearance,Fenugreek Seeds; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
307,Skincare,Blackheads,Oily,Inflammation; Roughness,Coconut Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
308,Haircare,Dandruff,All,Itching; Dull Appearance,Multani Mitti; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
309,Haircare,Hair Fall,Curly,Dull Appearance; Excess Oil,Onion Juice; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
310,Haircare,Dry Hair,Normal,Inflammation; Itching,Banana; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
311,Skincare,Dull Skin,Dry,Dark Spots; Redness,Egg Yolk; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
312,Skincare,Sensitive Skin,All,Redness; Uneven Tone,Egg Yolk; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
313,Haircare,Oily Scalp,Normal,Redness; Excess Oil,Aloe Vera; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
314,Haircare,Oily Scalp,Straight,Redness; Dry Texture,Potato Juice; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
315,Skincare,Wrinkles,Sensitive,Scalp Irritation; Dull Appearance,Aloe Vera; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
316,Haircare,Split Ends,Oily,Excess Oil; Redness,Papaya; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
317,Skincare,Dull Skin,Sensitive,Inflammation; Roughness,Green Tea; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
318,Skincare,Whiteheads,Sensitive,Dark Spots; Scalp Irritation,Coconut Oil; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
319,Skincare,Open Pores,Dry,Hair Shedding; Uneven Tone,Lemon Juice; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
320,Skincare,Rashes,Combination,Breakage; Roughness,Olive Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
321,Haircare,Split Ends,Oily,Roughness; Inflammation,Olive Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
322,Skincare,Dry Skin,Dry,Dull Appearance; Scalp Irritation,Banana; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
323,Skincare,Dark Circles,Sensitive,Itching; Roughness,Papaya; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
324,Haircare,Frizzy Hair,Curly,Redness; Scalp Irritation,Castor Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
325,Haircare,Oily Scalp,Straight,Scalp Irritation; Hair Shedding,Neem Powder; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
326,Skincare,Open Pores,Oily,Roughness; Redness,Honey; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
327,Haircare,Split Ends,Normal,Dark Spots; Flaky Skin,Honey; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
328,Haircare,Dandruff,Oily,Redness; Dull Appearance,Rose Water; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
329,Skincare,Open Pores,Sensitive,Redness; Breakage,Fenugreek Seeds; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
330,Haircare,Dry Hair,Straight,Inflammation; Redness,Egg Yolk; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
331,Haircare,Itchy Scalp,Oily,Hair Shedding; Uneven Tone,Egg Yolk; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
332,Skincare,Sun Tan,All,Dry Texture; Excess Oil,Neem Powder; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
333,Skincare,Dull Skin,Sensitive,Breakage; Redness,Fenugreek Seeds; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
334,Skincare,Dull Skin,Combination,Flaky Skin; Dry Texture,Banana; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
335,Skincare,Pigmentation,Oily,Roughness; Breakage,Green Tea; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
336,Skincare,Whiteheads,Oily,Hair Shedding; Dark Spots,Rose Water; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
337,Haircare,Oily Scalp,Curly,Uneven Tone; Roughness,Fenugreek Seeds; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
338,Skincare,Wrinkles,Dry,Itching; Uneven Tone,Neem Powder; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
339,Skincare,Dry Skin,Combination,Scalp Irritation; Dull Appearance,Coconut Oil; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
340,Skincare,Rashes,Normal,Dull Appearance; Flaky Skin,Honey; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
341,Haircare,Dandruff,All,Dark Spots; Breakage,Honey; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
342,Skincare,Pigmentation,Combination,Dark Spots; Scalp Irritation,Castor Oil; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
343,Haircare,Frizzy Hair,Normal,Uneven Tone; Itching,Castor Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
344,Skincare,Dry Skin,Oily,Uneven Tone; Itching,Coconut Oil; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
345,Haircare,Oily Scalp,Straight,Redness; Inflammation,Egg Yolk; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
346,Haircare,Hair Fall,Curly,Breakage; Dull Appearance,Gram Flour; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
347,Skincare,Sun Tan,Oily,Dull Appearance; Flaky Skin,Castor Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
348,Skincare,Acne,Dry,Uneven Tone; Itching,Aloe Vera; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
349,Skincare,Oily Skin,Oily,Scalp Irritation; Roughness,Coconut Oil; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
350,Haircare,Split Ends,Normal,Hair Shedding; Breakage,Lemon Juice; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
351,Haircare,Split Ends,All,Hair Shedding; Dull Appearance,Olive Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
352,Skincare,Dull Skin,Normal,Flaky Skin; Redness,Honey; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
353,Haircare,Dry Hair,All,Inflammation; Dark Spots,Banana; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
354,Skincare,Open Pores,Sensitive,Breakage; Redness,Coconut Oil; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
355,Haircare,Premature Greying,Oily,Redness; Uneven Tone,Yogurt; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
356,Skincare,Pigmentation,Sensitive,Scalp Irritation; Excess Oil,Curd; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
357,Skincare,Dry Skin,Dry,Itching; Breakage,Lemon Juice; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
358,Skincare,Blackheads,Sensitive,Dark Spots; Itching,Coconut Oil; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
359,Skincare,Dark Circles,Oily,Dry Texture; Flaky Skin,Coconut Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
360,Skincare,Rashes,Sensitive,Roughness; Dark Spots,Neem Powder; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
361,Skincare,Whiteheads,Sensitive,Redness; Uneven Tone,Potato Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
362,Skincare,Sensitive Skin,Oily,Excess Oil; Dry Texture,Curd; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
363,Haircare,Hair Fall,Curly,Breakage; Dry Texture,Papaya; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
364,Haircare,Hair Fall,Straight,Excess Oil; Breakage,Lemon Juice; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
365,Haircare,Hair Fall,Oily,Roughness; Dry Texture,Egg Yolk; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
366,Skincare,Dull Skin,All,Itching; Breakage,Yogurt; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
367,Skincare,Blackheads,Dry,Breakage; Redness,Onion Juice; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
368,Skincare,Dark Circles,Normal,Dark Spots; Dull Appearance,Coconut Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
369,Haircare,Dandruff,Curly,Breakage; Itching,Aloe Vera; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
370,Haircare,Hair Fall,All,Dry Texture; Breakage,Onion Juice; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
371,Haircare,Frizzy Hair,Curly,Flaky Skin; Dull Appearance,Egg Yolk; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
372,Skincare,Pigmentation,Normal,Uneven Tone; Dull Appearance,Multani Mitti; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
373,Haircare,Hair Growth,Curly,Uneven Tone; Scalp Irritation,Yogurt; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
374,Haircare,Hair Fall,Curly,Flaky Skin; Dry Texture,Coconut Oil; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
375,Haircare,Hair Thinning,All,Roughness; Breakage,Gram Flour; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
376,Haircare,Split Ends,Straight,Hair Shedding; Flaky Skin,Potato Juice; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
377,Skincare,Acne,Dry,Dry Texture; Excess Oil,Multani Mitti; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
378,Haircare,Dandruff,Straight,Uneven Tone; Dry Texture,Aloe Vera; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
379,Haircare,Premature Greying,Curly,Roughness; Uneven Tone,Egg Yolk; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
380,Haircare,Hair Thinning,Curly,Scalp Irritation; Redness,Neem Powder; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
381,Skincare,Oily Skin,Sensitive,Breakage; Flaky Skin,Castor Oil; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
382,Haircare,Split Ends,Curly,Dark Spots; Hair Shedding,Papaya; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
383,Haircare,Premature Greying,All,Dry Texture; Roughness,Yogurt; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
384,Haircare,Dry Hair,Oily,Uneven Tone; Breakage,Honey; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
385,Skincare,Dull Skin,Oily,Itching; Dry Texture,Banana; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
386,Skincare,Pigmentation,Dry,Itching; Uneven Tone,Olive Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
387,Haircare,Hair Growth,Straight,Flaky Skin; Roughness,Gram Flour; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
388,Skincare,Blackheads,Combination,Breakage; Dry Texture,Coconut Oil; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
389,Haircare,Hair Fall,Normal,Flaky Skin; Hair Shedding,Banana; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
390,Haircare,Hair Fall,Curly,Flaky Skin; Scalp Irritation,Yogurt; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
391,Haircare,Dandruff,Normal,Roughness; Inflammation,Turmeric; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
392,Haircare,Premature Greying,All,Roughness; Breakage,Fenugreek Seeds; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
393,Haircare,Hair Thinning,Oily,Roughness; Flaky Skin,Lemon Juice; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
394,Skincare,Rashes,All,Excess Oil; Roughness,Fenugreek Seeds; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
395,Skincare,Open Pores,Sensitive,Dry Texture; Roughness,Neem Powder; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
396,Skincare,Rashes,Sensitive,Excess Oil; Dull Appearance,Lemon Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
397,Skincare,Wrinkles,Normal,Scalp Irritation; Flaky Skin,Onion Juice; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
398,Skincare,Wrinkles,Oily,Redness; Breakage,Papaya; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
399,Haircare,Hair Growth,Oily,Inflammation; Dull Appearance,Castor Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
400,Skincare,Oily Skin,Dry,Roughness; Uneven Tone,Fenugreek Seeds; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
